Date,value
2020-02-21,-0.14
2020-02-22,0.14
2020-02-23,0.57
2020-02-24,2.00
2020-02-25,2.14
2020-02-26,2.43
2020-02-27,3.00
2020-02-28,3.57
2020-02-29,3.86
2020-03-01,4.14
2020-03-02,4.29
2020-03-03,4.43
2020-03-04,4.29
2020-03-05,4.00
2020-03-06,3.57
2020-03-07,3.57
2020-03-08,3.29
2020-03-09,2.86
2020-03-10,2.00
2020-03-11,1.43
2020-03-12,0.29
2020-03-13,-1.43
2020-03-14,-3.86
2020-03-15,-6.43
2020-03-16,-9.43
2020-03-17,-12.71
2020-03-18,-16.71
2020-03-19,-21.00
2020-03-20,-24.86
2020-03-21,-28.57
2020-03-22,-33.00
2020-03-23,-36.57
2020-03-24,-39.43
2020-03-25,-41.86
2020-03-26,-43.57
2020-03-27,-45.29
2020-03-28,-47.14
2020-03-29,-48.14
2020-03-30,-48.57
2020-03-31,-49.00
2020-04-01,-49.14
2020-04-02,-49.57
2020-04-03,-49.86
2020-04-04,-50.00
2020-04-05,-50.43
2020-04-06,-50.71
2020-04-07,-51.00
2020-04-08,-51.43
2020-04-09,-51.86
2020-04-10,-52.29
2020-04-11,-52.14
2020-04-12,-52.43
2020-04-13,-52.86
2020-04-14,-52.71
2020-04-15,-52.43
2020-04-16,-51.86
2020-04-17,-51.43
2020-04-18,-51.14
2020-04-19,-50.29
2020-04-20,-49.43
2020-04-21,-49.29
2020-04-22,-49.14
2020-04-23,-49.14
2020-04-24,-49.00
2020-04-25,-48.29
2020-04-26,-48.00
2020-04-27,-47.86
2020-04-28,-47.29
2020-04-29,-47.00
2020-04-30,-46.57
2020-05-01,-45.57
2020-05-02,-44.57
2020-05-03,-43.43
2020-05-04,-42.86
2020-05-05,-42.57
2020-05-06,-42.14
2020-05-07,-41.43
2020-05-08,-41.43
2020-05-09,-41.43
2020-05-10,-41.00
2020-05-11,-41.00
2020-05-12,-40.71
2020-05-13,-40.29
2020-05-14,-40.29
2020-05-15,-39.86
2020-05-16,-39.71
2020-05-17,-40.00
2020-05-18,-39.86
2020-05-19,-39.71
2020-05-20,-39.43
2020-05-21,-38.71
2020-05-22,-38.14
2020-05-23,-37.57
2020-05-24,-36.71
2020-05-25,-37.43
2020-05-26,-37.00
2020-05-27,-36.86
2020-05-28,-36.86
2020-05-29,-36.86
2020-05-30,-36.29
2020-05-31,-35.86
2020-06-01,-34.14
2020-06-02,-34.00
2020-06-03,-33.71
2020-06-04,-33.43
2020-06-05,-33.14
2020-06-06,-33.00
2020-06-07,-32.71
2020-06-08,-32.43
2020-06-09,-32.14
2020-06-10,-31.86
2020-06-11,-31.57
2020-06-12,-31.00
2020-06-13,-30.29
2020-06-14,-29.57
2020-06-15,-29.29
2020-06-16,-28.86
2020-06-17,-28.57
2020-06-18,-28.29
2020-06-19,-28.00
2020-06-20,-28.00
2020-06-21,-28.00
2020-06-22,-28.00
2020-06-23,-27.86
2020-06-24,-27.71
2020-06-25,-27.43
2020-06-26,-27.43
2020-06-27,-27.43
2020-06-28,-27.29
2020-06-29,-27.14
2020-06-30,-27.14
2020-07-01,-26.71
2020-07-02,-26.00
2020-07-03,-26.29
2020-07-04,-27.71
2020-07-05,-27.86
2020-07-06,-27.71
2020-07-07,-27.57
2020-07-08,-28.00
2020-07-09,-28.86
2020-07-10,-29.00
2020-07-11,-27.71
2020-07-12,-27.71
2020-07-13,-27.86
2020-07-14,-28.14
2020-07-15,-28.29
2020-07-16,-28.43
2020-07-17,-28.14
2020-07-18,-28.14
2020-07-19,-28.29
2020-07-20,-28.43
2020-07-21,-28.57
2020-07-22,-28.71
2020-07-23,-28.71
2020-07-24,-28.86
2020-07-25,-28.86
2020-07-26,-28.86
2020-07-27,-28.86
2020-07-28,-28.86
2020-07-29,-28.71
2020-07-30,-28.71
2020-07-31,-28.43
2020-08-01,-28.29
2020-08-02,-28.29
2020-08-03,-28.14
2020-08-04,-28.29
2020-08-05,-28.14
2020-08-06,-28.00
2020-08-07,-28.14
2020-08-08,-28.14
2020-08-09,-27.86
2020-08-10,-28.00
2020-08-11,-27.71
2020-08-12,-28.00
2020-08-13,-28.14
2020-08-14,-28.14
2020-08-15,-28.29
2020-08-16,-28.57
2020-08-17,-28.57
2020-08-18,-28.71
2020-08-19,-28.71
2020-08-20,-28.71
2020-08-21,-28.71
2020-08-22,-28.71
2020-08-23,-28.57
2020-08-24,-28.71
2020-08-25,-28.86
2020-08-26,-28.86
2020-08-27,-29.00
2020-08-28,-29.14
2020-08-29,-29.43
2020-08-30,-29.29
2020-08-31,-29.14
2020-09-01,-28.86
2020-09-02,-28.86
2020-09-03,-28.29
2020-09-04,-27.57
2020-09-05,-26.86
2020-09-06,-27.14
2020-09-07,-28.29
2020-09-08,-28.29
2020-09-09,-28.29
2020-09-10,-28.86
2020-09-11,-29.57
2020-09-12,-30.14
2020-09-13,-30.29
2020-09-14,-29.29
2020-09-15,-29.43
2020-09-16,-29.43
2020-09-17,-29.43
2020-09-18,-29.43
2020-09-19,-29.29
2020-09-20,-29.14
2020-09-21,-29.14
2020-09-22,-29.43
2020-09-23,-29.57
2020-09-24,-29.71
2020-09-25,-29.86
2020-09-26,-30.14
2020-09-27,-30.29
2020-09-28,-30.57
2020-09-29,-30.71
2020-09-30,-30.71
2020-10-01,-30.43
2020-10-02,-30.14
2020-10-03,-29.71
2020-10-04,-29.57
2020-10-05,-29.14
2020-10-06,-28.71
2020-10-07,-28.71
2020-10-08,-28.71
2020-10-09,-28.71
2020-10-10,-29.00
2020-10-11,-29.14
2020-10-12,-29.71
2020-10-13,-29.86
2020-10-14,-29.57
2020-10-15,-29.43
2020-10-16,-29.57
2020-10-17,-29.29
2020-10-18,-29.00
2020-10-19,-28.57
2020-10-20,-28.43
2020-10-21,-28.57
2020-10-22,-28.71
2020-10-23,-28.71
2020-10-24,-29.14
2020-10-25,-29.71
2020-10-26,-29.86
2020-10-27,-30.00
2020-10-28,-30.29
2020-10-29,-30.86
2020-10-30,-31.14
2020-10-31,-31.14
2020-11-01,-31.43
2020-11-02,-31.57
2020-11-03,-31.71
2020-11-04,-32.00
2020-11-05,-31.86
2020-11-06,-32.00
2020-11-07,-32.57
2020-11-08,-32.57
2020-11-09,-32.71
2020-11-10,-32.86
2020-11-11,-33.29
2020-11-12,-33.71
2020-11-13,-34.00
2020-11-14,-34.29
2020-11-15,-34.71
2020-11-16,-34.86
2020-11-17,-35.14
2020-11-18,-34.86
2020-11-19,-34.71
2020-11-20,-34.43
2020-11-21,-34.00
2020-11-22,-34.00
2020-11-23,-34.00
2020-11-24,-33.43
2020-11-25,-32.43
2020-11-26,-35.86
2020-11-27,-37.86
2020-11-28,-38.71
2020-11-29,-38.14
2020-11-30,-38.43
2020-12-01,-38.86
2020-12-02,-40.00
2020-12-03,-36.71
2020-12-04,-35.43
2020-12-05,-35.57
2020-12-06,-36.57
2020-12-07,-36.71
2020-12-08,-37.29
2020-12-09,-37.43
2020-12-10,-37.57
2020-12-11,-37.57
2020-12-12,-37.43
2020-12-13,-37.43
2020-12-14,-37.57
2020-12-15,-37.29
2020-12-16,-37.57
2020-12-17,-38.29
2020-12-18,-38.00
2020-12-19,-37.00
2020-12-20,-36.14
2020-12-21,-35.29
2020-12-22,-34.57
2020-12-23,-33.00
2020-12-24,-33.00
2020-12-25,-37.43
2020-12-26,-39.14
2020-12-27,-39.43
2020-12-28,-40.14
2020-12-29,-41.00
2020-12-30,-42.00
2020-12-31,-41.86
2021-01-01,-41.14
2021-01-02,-40.57
2021-01-03,-40.86
2021-01-04,-40.71
2021-01-05,-40.71
2021-01-06,-41.29
2021-01-07,-41.14
2021-01-08,-38.29
2021-01-09,-38.57
2021-01-10,-39.29
2021-01-11,-39.71
2021-01-12,-40.00
2021-01-13,-40.00
2021-01-14,-40.00
2021-01-15,-39.86
2021-01-16,-40.00
2021-01-17,-40.00
2021-01-18,-40.29
2021-01-19,-40.43
2021-01-20,-40.71
2021-01-21,-40.86
2021-01-22,-40.86
2021-01-23,-41.14
2021-01-24,-41.43
2021-01-25,-41.43
2021-01-26,-41.71
2021-01-27,-41.57
2021-01-28,-41.57
2021-01-29,-41.71
2021-01-30,-41.43
2021-01-31,-41.29
2021-02-01,-42.00
2021-02-02,-42.14
2021-02-03,-41.86
2021-02-04,-41.57
2021-02-05,-41.14
2021-02-06,-40.86
2021-02-07,-41.29
2021-02-08,-40.14
2021-02-09,-39.57
2021-02-10,-39.57
2021-02-11,-39.71
2021-02-12,-39.71
2021-02-13,-40.00
2021-02-14,-39.57
2021-02-15,-40.71
2021-02-16,-41.29
2021-02-17,-41.57
2021-02-18,-42.29
2021-02-19,-42.71
2021-02-20,-42.00
2021-02-21,-41.00
2021-02-22,-39.57
2021-02-23,-38.29
2021-02-24,-37.29
2021-02-25,-35.71
2021-02-26,-34.57
2021-02-27,-34.14
2021-02-28,-33.71
2021-03-01,-33.29
2021-03-02,-33.29
2021-03-03,-33.14
2021-03-04,-33.00
2021-03-05,-32.86
2021-03-06,-32.57
2021-03-07,-32.14
2021-03-08,-32.00
2021-03-09,-31.71
2021-03-10,-31.71
2021-03-11,-31.43
2021-03-12,-31.00
2021-03-13,-30.29
2021-03-14,-30.00
2021-03-15,-29.86
2021-03-16,-29.57
2021-03-17,-29.00
2021-03-18,-28.86
2021-03-19,-28.57
2021-03-20,-27.86
2021-03-21,-26.71
2021-03-22,-26.14
2021-03-23,-26.00
2021-03-24,-26.14
2021-03-25,-26.00
2021-03-26,-25.86
2021-03-27,-25.86
2021-03-28,-26.57
2021-03-29,-26.57
2021-03-30,-26.29
2021-03-31,-26.00
2021-04-01,-25.57
2021-04-02,-25.57
2021-04-03,-25.86
2021-04-04,-25.86
2021-04-05,-25.43
2021-04-06,-25.14
2021-04-07,-24.86
2021-04-08,-24.71
2021-04-09,-24.57
2021-04-10,-24.43
2021-04-11,-24.14
2021-04-12,-24.43
2021-04-13,-24.71
2021-04-14,-25.00
2021-04-15,-25.43
2021-04-16,-25.57
2021-04-17,-25.57
2021-04-18,-25.14
2021-04-19,-25.00
2021-04-20,-24.86
2021-04-21,-24.86
2021-04-22,-24.71
2021-04-23,-24.43
2021-04-24,-24.57
2021-04-25,-24.86
2021-04-26,-24.86
2021-04-27,-24.71
2021-04-28,-24.43
2021-04-29,-24.29
2021-04-30,-24.00
2021-05-01,-23.29
2021-05-02,-22.57
2021-05-03,-22.43
2021-05-04,-22.43
2021-05-05,-22.43
2021-05-06,-22.00
2021-05-07,-22.00
2021-05-08,-22.14
2021-05-09,-22.43
2021-05-10,-22.43
2021-05-11,-22.29
2021-05-12,-21.86
2021-05-13,-21.71
2021-05-14,-21.29
2021-05-15,-20.71
2021-05-16,-20.14
2021-05-17,-19.71
2021-05-18,-19.43
2021-05-19,-19.57
2021-05-20,-19.71
2021-05-21,-20.00
2021-05-22,-20.57
2021-05-23,-20.86
2021-05-24,-21.14
2021-05-25,-21.29
2021-05-26,-21.14
2021-05-27,-20.71
2021-05-28,-20.29
2021-05-29,-20.14
2021-05-30,-20.57
2021-05-31,-21.57
2021-06-01,-21.00
2021-06-02,-20.86
2021-06-03,-21.14
2021-06-04,-21.29
2021-06-05,-20.71
2021-06-06,-19.71
2021-06-07,-18.43
2021-06-08,-18.86
2021-06-09,-18.71
2021-06-10,-18.43
2021-06-11,-18.43
2021-06-12,-18.43
2021-06-13,-18.14
2021-06-14,-17.86
2021-06-15,-17.43
2021-06-16,-17.14
2021-06-17,-16.86
2021-06-18,-16.57
2021-06-19,-16.43
2021-06-20,-16.57
2021-06-21,-16.57
2021-06-22,-16.71
2021-06-23,-16.71
2021-06-24,-16.86
2021-06-25,-16.86
2021-06-26,-16.86
2021-06-27,-16.57
2021-06-28,-16.71
2021-06-29,-17.14
2021-06-30,-17.29
2021-07-01,-17.00
2021-07-02,-16.57
2021-07-03,-16.57
2021-07-04,-17.29
2021-07-05,-18.00
2021-07-06,-17.43
2021-07-07,-17.43
2021-07-08,-17.86
2021-07-09,-18.43
2021-07-10,-18.29
2021-07-11,-17.86
2021-07-12,-17.00
2021-07-13,-17.00
2021-07-14,-16.86
2021-07-15,-16.43
2021-07-16,-16.14
2021-07-17,-16.14
2021-07-18,-15.71
2021-07-19,-15.43
2021-07-20,-15.29
2021-07-21,-15.29
2021-07-22,-15.29
2021-07-23,-15.29
2021-07-24,-15.14
2021-07-25,-15.29
2021-07-26,-15.43
2021-07-27,-15.57
2021-07-28,-15.57
2021-07-29,-15.86
2021-07-30,-15.86
2021-07-31,-15.86
2021-08-01,-15.86
2021-08-02,-15.71
2021-08-03,-15.57
2021-08-04,-15.57
2021-08-05,-15.57
2021-08-06,-15.71
2021-08-07,-16.00
2021-08-08,-16.14
2021-08-09,-16.43
2021-08-10,-16.71
2021-08-11,-17.00
2021-08-12,-17.14
2021-08-13,-17.29
2021-08-14,-17.43
2021-08-15,-17.43
2021-08-16,-17.43
2021-08-17,-17.57
2021-08-18,-17.57
2021-08-19,-17.71
2021-08-20,-17.86
2021-08-21,-18.29
2021-08-22,-19.71
2021-08-23,-20.14
2021-08-24,-20.29
2021-08-25,-20.43
2021-08-26,-20.43
2021-08-27,-20.71
2021-08-28,-21.00
2021-08-29,-20.43
2021-08-30,-20.43
2021-08-31,-20.29
2021-09-01,-20.43
2021-09-02,-20.29
2021-09-03,-19.43
2021-09-04,-19.00
2021-09-05,-19.29
2021-09-06,-20.43
2021-09-07,-20.29
2021-09-08,-20.14
2021-09-09,-20.43
2021-09-10,-21.00
2021-09-11,-21.29
2021-09-12,-20.86
2021-09-13,-19.43
2021-09-14,-19.57
2021-09-15,-19.43
2021-09-16,-19.29
2021-09-17,-19.14
2021-09-18,-19.14
2021-09-19,-19.00
2021-09-20,-18.86
2021-09-21,-19.00
2021-09-22,-19.29
2021-09-23,-19.29
2021-09-24,-19.29
2021-09-25,-19.14
2021-09-26,-19.14
2021-09-27,-19.14
2021-09-28,-19.14
2021-09-29,-19.00
2021-09-30,-18.71
2021-10-01,-18.43
2021-10-02,-18.43
2021-10-03,-18.57
2021-10-04,-18.71
2021-10-05,-18.57
2021-10-06,-18.43
2021-10-07,-18.29
2021-10-08,-18.43
2021-10-09,-18.29
2021-10-10,-18.29
2021-10-11,-18.43
2021-10-12,-18.14
2021-10-13,-18.00
2021-10-14,-18.00
2021-10-15,-18.00
2021-10-16,-18.14
2021-10-17,-17.86
2021-10-18,-17.43
2021-10-19,-17.57
2021-10-20,-17.57
2021-10-21,-17.71
2021-10-22,-17.71
2021-10-23,-17.86
2021-10-24,-18.43
2021-10-25,-18.71
2021-10-26,-19.14
2021-10-27,-19.29
2021-10-28,-19.43
2021-10-29,-19.86
2021-10-30,-20.29
2021-10-31,-20
2021-11-01,-19.71
2021-11-02,-19.57
2021-11-03,-19.71
2021-11-04,-19.86
2021-11-05,-19.86
2021-11-06,-19.86
2021-11-07,-20.29
2021-11-08,-20.43
2021-11-09,-20.14
2021-11-10,-19.86
2021-11-11,-20.29
2021-11-12,-20.43
2021-11-13,-20.43
2021-11-14,-20.43
2021-11-15,-20.43
2021-11-16,-20.43
2021-11-17,-20.43
2021-11-18,-19.71
2021-11-19,-19.29
2021-11-20,-18.43
2021-11-21,-18
2021-11-22,-17.86
2021-11-23,-17.14
2021-11-24,-15.86
2021-11-25,-19.57
2021-11-26,-22.29
2021-11-27,-23
2021-11-28,-22.29
2021-11-29,-22.29
2021-11-30,-22.86
2021-12-01,-24.14
2021-12-02,-20.71
2021-12-03,-18.43
2021-12-04,-18.57
2021-12-05,-20
2021-12-06,-20.57
2021-12-07,-21.14
2021-12-08,-21.57
2021-12-09,-21.86
2021-12-10,-22
2021-12-11,-22.29
2021-12-12,-22.29
2021-12-13,-22.14
2021-12-14,-22
2021-12-15,-21.71
2021-12-16,-21.29
2021-12-17,-20.86
2021-12-18,-20.14
2021-12-19,-19.71
2021-12-20,-19.57
2021-12-21,-19.29
2021-12-22,-19.14
2021-12-23,-19.29
2021-12-24,-22
2021-12-25,-26.29
2021-12-26,-27
2021-12-27,-27.86
2021-12-28,-28.71
2021-12-29,-29.71
2021-12-30,-30.57
2021-12-31,-30.71
2022-01-01,-30.43
2022-01-02,-30.86
2022-01-03,-31.29
2022-01-04,-31.57
2022-01-05,-32.14
2022-01-06,-32.86
2022-01-07,-32.43
2022-01-08,-30.86
2022-01-09,-32.14
2022-01-10,-32.43
2022-01-11,-33.14
2022-01-12,-33.14
2022-01-13,-32.86
2022-01-14,-32
2022-01-15,-32.14
2022-01-16,-32.71
2022-01-17,-33.71
2022-01-18,-33.14
2022-01-19,-33
2022-01-20,-33.29
2022-01-21,-33.57
